"Filename","WC","RC2","RC3","RC6","RC1","RC4","RC10","RC7","RC8","RC14","RC5","RC9","RC11","RC15","RC12","RC13"
"54_6_4594.txt",209,4.97739,4.5249,1.80996,4.5249,5.88237,5.88237,4.97739,4.97739,2.26245,2.71494,0.90498,4.5249,1.80996,0.45249,1.35747
"54_6_4595.txt",214,1.76992,2.65488,0.44248,1.32744,3.09736,2.65488,0.88496,0.44248,1.76992,-0.44248,0.88496,1.76992,0.44248,1.32744,0.44248
"54_6_4596.txt",217,3.00428,8.15446,0.42918,1.71673,5.15018,5.57937,0.85837,2.5751,1.71673,3.43346,0.85837,1.71672,1.28756,1.71674,-0.42919
"54_7_4597.txt",26,10.71429,-3.57143,3.57143,10.71429,7.14286,0,3.57143,7.14286,3.57143,-3.57143,7.14286,7.14286,0,-7.14286,0
"54_7_4598.txt",30,3.125,0,0,3.125,6.25,3.125,6.25,6.25,9.375,3.125,6.25,6.25,6.25,0,3.125
"54_7_4599.txt",31,0,8.82354,0,2.94118,2.94118,8.82354,2.94118,5.88236,0,8.82354,0,2.94118,2.94118,8.82354,0
"54_7_4600.txt",33,8.57142,-2.85714,2.85714,5.71428,11.42856,-8.57142,5.71428,11.42856,0,0,11.42856,5.71428,2.85714,0,0
"54_7_4601.txt",41,0,2.27273,2.27273,2.27273,4.54546,0,0,4.54546,6.81819,6.81819,2.27273,2.27273,4.54546,-4.54546,-2.27273
"54_7_4602.txt",43,0,2.17391,0,0,2.17391,2.17391,2.17391,2.17391,-2.17391,-2.17391,4.34782,6.52173,0,0,-2.17391
"54_7_4603.txt",51,3.7037,3.7037,0,1.85185,7.4074,9.25925,1.85185,0,1.85185,0,1.85185,-3.7037,3.7037,-3.7037,3.7037
"54_7_4604.txt",52,5.35713,8.92856,0,1.78571,5.35713,8.92856,0,1.78571,0,0,1.78571,-1.78571,1.78572,0,7.14285
"54_7_4605.txt",203,7.04221,2.81689,1.40844,4.69482,7.5117,4.6948,1.87792,2.81689,3.28635,0.93896,3.75585,0.93897,2.81689,-0.46948,-0.46949
"54_7_4606.txt",205,4.6083,6.45162,2.30415,1.84332,3.22581,3.68664,2.30415,1.84332,2.30415,0.46083,1.84332,4.14747,-0.92166,-0.46083,-0.46083
"54_7_4607.txt",207,2.25225,2.7027,1.8018,4.05405,6.75675,1.35135,5.4054,2.7027,1.35135,0.9009,1.8018,2.25225,0.9009,3.15315,-1.8018
"54_8_4608.txt",24,7.6923,3.84615,0,0,3.84615,0,7.6923,3.84615,0,7.6923,3.84615,7.6923,-7.6923,3.84615,-7.6923
"54_8_4609.txt",25,3.57143,0,0,0,0,0,7.14286,7.14286,0,0,3.57143,0,0,0,0
"54_8_4610.txt",27,3.57143,7.14286,3.57143,0,14.28572,7.14286,0,3.57143,-3.57143,3.57143,3.57143,3.57143,0,7.14286,0
"54_8_4611.txt",41,9.30232,9.30232,4.65116,2.32558,2.32558,6.97674,6.97674,2.32558,2.32558,0,0,4.65116,-2.32558,-2.32558,0
"54_8_4612.txt",49,1.92308,0,1.92308,3.84616,1.92308,0,5.76924,3.84616,0,0,1.92308,1.92308,-1.92308,0,0
"54_8_4613.txt",56,10.16951,3.38984,8.47459,5.08476,5.08476,0,3.38984,3.38984,5.08476,3.38984,5.08475,1.69492,-1.69492,0,6.77967
"54_8_4614.txt",85,4.44444,2.22222,6.66666,3.33333,0,3.33333,0,1.11111,4.44444,1.11111,0,2.22222,0,3.33333,2.22222
"54_8_4615.txt",204,3.65296,6.8493,0.45662,2.2831,6.39268,6.39268,3.65296,3.19634,3.19634,1.82648,1.36986,8.21916,-2.73972,2.73972,0.91324
"54_8_4616.txt",207,4.12848,3.21104,1.83488,1.37616,2.2936,2.75232,1.83488,2.75232,2.2936,1.37616,1.83488,3.66976,-0.45872,1.83488,1.83488
"54_8_4617.txt",213,2.67858,4.01786,0.44643,1.33929,8.03573,4.46429,1.33929,3.12501,4.01786,0,0.89286,0.89286,1.78572,-1.78572,2.23215
"54_9_4620.txt",21,0,0,0,0,4.54545,0,9.0909,0,0,4.54545,0,4.54545,4.54545,0,4.54545
"54_9_4621.txt",35,2.7027,5.4054,0,0,10.8108,8.1081,2.7027,-2.7027,5.4054,0,0,-2.7027,0,0,0
"54_9_4622.txt",38,9.30232,2.32558,6.97674,4.65116,0,2.32558,2.32558,2.32558,6.97674,0,0,2.32558,2.32558,0,0
"54_9_4623.txt",50,3.77358,-1.88679,1.88679,3.77358,5.66037,0,3.77358,5.66037,0,-1.88679,5.66037,3.77358,0,-1.88679,0
"54_9_4624.txt",201,1.42179,1.89572,0,4.26537,4.7393,4.73931,2.36965,1.89572,1.89572,-0.47393,0.47393,3.79145,0,0,1.42179
"54_9_4625.txt",206,2.7523,4.58718,1.83486,3.66974,5.04591,5.96334,3.21103,1.37616,1.83488,0.45872,1.83487,-0.45871,-0.45871,1.83488,0.45871
"54_9_4626.txt",211,2.67858,4.91073,3.12501,1.78572,5.35716,4.4643,2.67858,3.57144,0.89286,0.89286,1.78572,5.35716,-0.44643,2.67858,2.23215
"55_1_4669.txt",28,3.22581,3.22581,0,9.67743,6.45162,3.22581,3.22581,3.22581,6.45162,-6.45162,6.45162,-6.45162,-6.45162,0,0
"55_1_4670.txt",123,2.12766,9.92908,0,1.41844,9.92908,6.38298,2.12766,4.25532,2.83688,0,7.0922,1.41844,2.12766,1.41844,-5.67376
"55_1_4671.txt",138,3.87096,0,0,5.80645,8.38709,-3.22581,0.64516,7.09677,0.64516,-1.29032,3.87096,0.64516,5.16129,-5.16129,1.29032
"55_1_4672.txt",179,8.90052,4.71204,7.8534,4.18848,3.14136,1.57068,0.52356,2.09424,4.71204,-0.52356,1.57068,2.6178,-2.09424,-1.57068,-1.57068
"55_10_4735.txt",27,10.34484,0,0,6.89656,10.34484,6.89656,3.44828,0,3.44828,0,3.44828,-3.44828,0,-3.44828,0
"55_10_4736.txt",203,4.09094,1.36365,0.9091,5.45457,5.90913,-2.27272,1.36365,5.90911,2.72729,-0.45454,2.72729,0.9091,1.81818,-2.27272,-1.36365
"55_10_4737.txt",204,0.91744,6.88074,0.91743,1.83487,1.37615,6.42204,2.29359,3.66973,4.12845,1.37615,0.45872,-5.04588,0,-2.7523,0
"55_10_4738.txt",219,5.9829,2.5641,1.7094,3.4188,5.9829,0.8547,2.13675,4.70085,4.2735,-0.8547,2.5641,-0.42735,2.5641,-3.4188,0
"55_11_4740.txt",24,0,0,0,4.16667,4.16667,-4.16667,0,4.16667,0,0,0,0,4.16667,-4.16667,0
"55_11_4741.txt",26,0,0,0,3.7037,3.7037,-3.7037,0,3.7037,0,0,0,0,3.7037,-3.7037,0
"55_11_4742.txt",202,2.25225,1.35135,1.8018,11.26125,8.1081,-2.25225,2.25225,9.9099,4.5045,-1.8018,3.15315,1.35135,6.75675,-5.4054,1.8018
