

KMO_TEST:

KMO_METRIC: 0.674999301157518
The KMO test yields a DECENT degree of common variance.

BARTLETT_SPHERICITY_TEST:


	Bartlett's test of sphericity

data:  InputData
X-squared = 47775, df = 11325, p-value < 2.2e-16



FACTOR_ANALYSIS_RESULTS:

Principal Components Analysis
Call: principal(r = InputData, nfactors = NumberOfFactors, residuals = FALSE, 
    rotate = "varimax", method = "regression")
Standardized loadings (pattern matrix) based upon correlation matrix
               RC2   RC7   RC6   RC8  RC14   RC3   RC5   RC1   RC4  RC15  RC11   RC9  RC13  RC12  RC10    h2   u2 com
happy        -0.05  0.11  0.17 -0.07 -0.14  0.22  0.18  0.26  0.04  0.07 -0.04  0.04  0.05 -0.06 -0.03 0.237 0.76 5.8
breakfast     0.00  0.44 -0.01  0.11 -0.06 -0.06 -0.02  0.00  0.04  0.08 -0.05 -0.03 -0.04 -0.03  0.14 0.251 0.75 1.6
discuss       0.03  0.00  0.42  0.00  0.15  0.12 -0.06 -0.10  0.05 -0.13 -0.04 -0.07  0.08 -0.04  0.02 0.265 0.74 2.1
stress        0.28 -0.02 -0.06  0.05 -0.04  0.08 -0.08  0.25  0.10 -0.06  0.06  0.01 -0.19  0.03 -0.02 0.215 0.79 4.0
topic         0.14  0.03  0.27  0.04  0.11  0.14  0.01 -0.15  0.06 -0.13  0.01 -0.02  0.21  0.04  0.00 0.217 0.78 5.2
worry         0.18 -0.03  0.01  0.03  0.04 -0.01 -0.04  0.17  0.09 -0.02  0.06  0.03 -0.06 -0.07  0.05 0.089 0.91 4.2
question      0.34 -0.01 -0.02 -0.12  0.33 -0.01  0.09  0.00  0.08  0.12 -0.05 -0.11  0.10  0.05 -0.13 0.317 0.68 3.7
learn         0.16  0.02  0.04  0.04  0.20  0.05  0.01 -0.07 -0.07 -0.12  0.04  0.01  0.15  0.07 -0.03 0.124 0.88 5.2
outside       0.00  0.05  0.00  0.05 -0.04  0.08  0.00 -0.02  0.00  0.28  0.02  0.01  0.04  0.06 -0.01 0.097 0.90 1.6
hour          0.11  0.10  0.06  0.15  0.07 -0.01  0.06  0.04 -0.03  0.14  0.01  0.01 -0.03  0.12 -0.05 0.095 0.91 6.7
left         -0.03  0.02  0.07  0.04 -0.04 -0.03 -0.05  0.01  0.01  0.38  0.00  0.11  0.02  0.01  0.11 0.182 0.82 1.5
assignment    0.06  0.05  0.16  0.20  0.09 -0.08 -0.03 -0.09  0.20 -0.09  0.05  0.39 -0.13 -0.03  0.02 0.314 0.69 3.6
lecture       0.21  0.04  0.06  0.15  0.01  0.00 -0.04 -0.16 -0.08  0.04  0.26 -0.01  0.38  0.12 -0.06 0.339 0.66 4.0
bed          -0.02 -0.07 -0.07  0.37 -0.12  0.06  0.16 -0.02  0.01  0.06  0.00 -0.08 -0.05 -0.02  0.18 0.240 0.76 2.8
class         0.46 -0.02  0.11  0.19 -0.14 -0.02  0.04 -0.11 -0.14  0.10  0.16 -0.04  0.29  0.13 -0.08 0.455 0.55 3.8
year          0.00 -0.03  0.17  0.01  0.06  0.17  0.03  0.04 -0.10 -0.08 -0.09 -0.04 -0.08  0.32  0.15 0.223 0.78 3.8
nervous       0.33 -0.04  0.15 -0.01 -0.06 -0.04  0.02 -0.05  0.07  0.14 -0.06 -0.05 -0.12  0.08 -0.10 0.199 0.80 3.1
food         -0.04  0.60 -0.02 -0.03 -0.04  0.04 -0.07  0.04  0.00  0.04  0.05 -0.01  0.00 -0.04  0.09 0.387 0.61 1.1
read          0.01 -0.01 -0.08 -0.01 -0.06  0.16 -0.03 -0.13  0.04  0.12 -0.02  0.06  0.02  0.45  0.04 0.278 0.72 1.8
leave        -0.07  0.01  0.08  0.11  0.06 -0.06 -0.05  0.03 -0.06  0.23  0.01  0.01  0.05  0.02  0.22 0.140 0.86 3.7
tire          0.01 -0.02 -0.08  0.46 -0.07 -0.08  0.02  0.04  0.00 -0.05  0.04  0.02  0.02 -0.03 -0.02 0.240 0.76 1.3
stay          0.02  0.06  0.07  0.16  0.05  0.03  0.00 -0.02  0.01 -0.02  0.19  0.02 -0.01  0.07  0.16 0.108 0.89 4.2
stop         -0.01 -0.03 -0.06  0.00  0.12  0.09  0.02  0.00 -0.01  0.30  0.00  0.04  0.04 -0.01  0.14 0.140 0.86 2.3
apartment    -0.02  0.07 -0.02 -0.02  0.02  0.10 -0.05 -0.06  0.02  0.11  0.02 -0.02 -0.01 -0.01  0.48 0.271 0.73 1.3
