"Filename","WC","RC6","RC3","RC2","RC7","RC4","RC9","RC10","RC5","RC1","RC8"
"2_12_227.txt",228,4.01608,8.03215,2.40966,2.40965,11.64663,2.81125,2.40966,-3.61446,-1.20481,2.81126
"2_13_233.txt",34,11.11111,2.77778,13.88889,0,-5.55555,11.11111,0,0,-11.11111,0
"2_13_234.txt",194,2.7907,3.25583,-0.93023,0.46512,7.44187,2.7907,4.18606,-2.32558,0.46512,0.93024
"2_13_235.txt",212,5.53191,2.55318,0.85107,1.27659,5.95744,2.12764,3.82978,0.42553,-0.42553,3.40425
"2_13_236.txt",212,1.74672,6.55021,0.87336,0.87336,6.55021,0.87336,4.3668,-2.62009,-0.87336,-0.43668
"2_14_242.txt",207,4.01787,5.35715,0.89286,1.78572,3.57144,1.33929,2.23215,1.78572,0.89286,4.01787
"2_14_243.txt",209,1.2987,1.2987,0.4329,-1.2987,6.0606,0.4329,-0.4329,-0.4329,2.22044604925031e-16,2.5974
"2_14_244.txt",216,4.91806,2.86887,0.81968,2.45902,10.65579,4.91804,3.68855,-0.40984,1.2295,2.45903
"2_15_247.txt",31,0,0,0,0,0,0,0,0,0,0
"2_15_248.txt",31,0,0,-2.94118,0,2.94118,0,2.94118,0,-2.94118,0
"2_15_249.txt",39,2.38095,0,-2.38095,4.7619,4.7619,0,0,4.7619,-2.38095,2.38095
"2_15_250.txt",181,4.52261,4.0201,-0.50252,3.51759,6.53266,2.51256,7.53769,2.51256,1.00000000000655e-05,3.01507
"2_15_251.txt",183,2.51255,6.53266,0.50252,3.51758,7.03515,4.02009,5.52764,0.50251,-1.50753,3.51758
"2_15_252.txt",201,5.00004,2.72729,0,1.36365,3.18185,1.36364,1.81819,1.8182,0,1.36365
"2_2_134.txt",36,4.87804,2.43902,0,4.87804,7.31706,2.43902,4.87804,-2.43902,0,2.43902
"2_2_135.txt",48,3.84616,1.92308,1.92308,3.84616,7.69232,1.92308,5.76924,1.92308,1.92308,-1.92308
"2_2_136.txt",53,1.72414,1.72414,3.44828,3.44828,3.44828,-1.72414,8.6207,-1.72414,1.72414,3.44828
"2_2_137.txt",62,4.47762,2.98508,-2.98507,1.49254,8.95523,0,8.95523,1.49254,-4.47761,1.49254
"2_2_138.txt",213,2.53164,2.1097,-0.42194,0.84388,8.4388,1.26582,6.75104,0,0,3.79746
"2_2_139.txt",217,1.27119,2.11865,0.84746,0.84746,2.96611,1.27119,2.54238,-1.27119,-0.42373,1.27119
"2_2_140.txt",229,3.61447,4.01608,-0.80321,4.41768,6.0241,2.40964,6.42571,3.61446,1.00000000000655e-05,0.80321
"2_3_142.txt",31,9.375,3.125,-3.125,9.375,12.5,3.125,12.5,3.125,3.125,0
