"Filename","WC","RC2"
"12_1_1002.txt",25,15.38461
"12_1_1003.txt",25,7.6923
"12_1_1004.txt",28,9.99999
"12_1_1005.txt",30,0
"12_1_1006.txt",40,0
"12_1_1007.txt",128,0
"12_1_1008.txt",153,2.40964
"12_1_1009.txt",181,2.07253
"12_10_1076.txt",13,0
"12_10_1077.txt",15,0
"12_10_1078.txt",18,0
"12_10_1079.txt",20,4.54545
"12_10_1080.txt",21,-4.34782
"12_10_1081.txt",22,4.16667
"12_10_1082.txt",25,0
"12_10_1083.txt",211,0.4386
"12_10_1084.txt",219,0
"12_10_1085.txt",221,0
"12_11_1086.txt",16,-5.88235
"12_11_1087.txt",16,11.11111
"12_11_1088.txt",17,5.55556
"12_11_1089.txt",30,6.25
"12_11_1090.txt",30,9.09091
"12_11_1091.txt",212,5.75222
"12_11_1092.txt",214,1.75439
"12_11_1093.txt",218,2.52101
"12_12_1094.txt",22,0
"12_12_1095.txt",23,3.84615
"12_12_1096.txt",24,0
"12_12_1097.txt",26,0
"12_12_1098.txt",28,3.22581
"12_12_1099.txt",37,2.5
"12_12_1100.txt",206,0.44843
"12_12_1101.txt",211,0
"12_12_1102.txt",218,3.4188
"12_13_1103.txt",20,4.54545
"12_13_1104.txt",25,0
"12_13_1105.txt",39,2.38095
"12_13_1106.txt",46,6.12246
"12_13_1107.txt",209,3.1111
"12_13_1108.txt",214,2.64318
"12_13_1109.txt",227,4.14938
"12_14_1110.txt",16,5.88235
"12_14_1111.txt",21,4.54545
"12_14_1112.txt",22,-4.16667
"12_14_1113.txt",26,0
"12_14_1114.txt",27,6.66666
"12_14_1115.txt",27,3.57143
"12_14_1116.txt",31,-3.125
"12_14_1117.txt",205,1.82648
"12_14_1118.txt",216,-1.71674
"12_14_1119.txt",223,0.83682
"12_2_1010.txt",18,0
"12_2_1011.txt",29,6.25
"12_2_1012.txt",36,5.12821
"12_2_1013.txt",39,0
"12_2_1014.txt",40,2.27273
"12_2_1015.txt",44,2.12766
"12_2_1016.txt",216,2.13675
"12_2_1017.txt",226,0.40486
"12_2_1018.txt",229,2.85714
"12_3_1019.txt",10,0
"12_3_1020.txt",22,0
"12_3_1021.txt",27,3.44828
"12_3_1022.txt",29,0
"12_3_1023.txt",30,9.375
"12_3_1024.txt",236,3.1496
"12_3_1025.txt",236,4.3307
"12_3_1026.txt",266,4.49826
"12_4_1027.txt",18,5
"12_4_1028.txt",21,4.54545
"12_4_1029.txt",28,10
"12_4_1030.txt",29,6.0606
"12_4_1031.txt",40,7.14285
"12_4_1032.txt",206,4.97738
"12_4_1033.txt",217,2.99145
"12_4_1034.txt",222,-0.8
"12_5_1035.txt",25,-3.57143
"12_5_1036.txt",27,13.79311
"12_5_1037.txt",29,3.22581
"12_5_1038.txt",33,-2.85715
"12_5_1039.txt",34,2.7027
"12_5_1040.txt",201,0.45662
"12_5_1041.txt",227,1.23967
"12_5_1042.txt",229,2.34376
"12_6_1043.txt",13,0
"12_6_1044.txt",14,0
"12_6_1045.txt",18,-5
"12_6_1046.txt",24,11.53845
"12_6_1047.txt",202,0.91324
"12_6_1048.txt",213,0.8658
"12_6_1049.txt",223,0.85836
"12_7_1050.txt",17,-5.26316
"12_7_1051.txt",25,0
"12_7_1052.txt",26,0
"12_7_1053.txt",26,0
"12_7_1054.txt",27,0
"12_7_1055.txt",32,0
"12_7_1056.txt",206,1.35135
"12_7_1057.txt",213,-1.7094
"12_7_1058.txt",219,1.69492
"12_8_1059.txt",13,6.66667
"12_8_1060.txt",17,0
"12_8_1061.txt",24,7.6923
"12_8_1062.txt",36,7.69231
"12_8_1063.txt",214,-2.17392
"12_8_1064.txt",216,0.86956
"12_8_1065.txt",223,0
"12_9_1066.txt",16,0
"12_9_1067.txt",21,0
"12_9_1068.txt",23,-4
"12_9_1069.txt",24,4
"12_9_1070.txt",26,3.57143
"12_9_1071.txt",26,-3.57143
"12_9_1072.txt",31,12.12121
"12_9_1073.txt",234,7.22892
"12_9_1074.txt",235,1.97628
"12_9_1075.txt",240,3.51564
"13_1_1121.txt",32,3.0303
"13_1_1122.txt",66,5.55556
"13_1_1123.txt",82,3.37079
"13_1_1124.txt",94,5
"13_1_1125.txt",116,8.52713
"13_10_1223.txt",28,0
"13_10_1224.txt",42,-4.34783
"13_10_1225.txt",45,4.25532
"13_10_1226.txt",45,6.24999
"13_10_1227.txt",46,2.04082
"13_10_1228.txt",47,0
"13_10_1229.txt",48,0
"13_10_1230.txt",61,1.51515
"13_10_1231.txt",65,1.44928
"13_10_1232.txt",69,2.7027
"13_10_1233.txt",92,0
"13_10_1234.txt",96,1
"13_10_1235.txt",142,2.68456
"13_10_1236.txt",206,0.89286
"13_10_1237.txt",221,1.68776
"13_10_1238.txt",218,1.7316
"13_11_1239.txt",40,0
"13_11_1240.txt",46,6.12245
"13_11_1241.txt",65,0
"13_11_1242.txt",65,1.47059
"13_11_1243.txt",82,-1.14942
"13_11_1244.txt",121,1.5625
"13_11_1245.txt",130,3.67647
"13_11_1246.txt",225,2.11865
"13_11_1247.txt",229,3.68852
"13_11_1248.txt",234,1.20483
"13_12_1249.txt",45,-2.08333
"13_12_1250.txt",72,2.63158
"13_12_1251.txt",72,2.63158
"13_12_1252.txt",73,2.66667
