"Filename","WC","RC2","RC1","RC3","RC4","RC5"
"10_4_782.txt",207,0,3.94737,0.43861,3.94738,2.19299
"10_4_783.txt",207,2.66666,8.44441,4.88886,6.2222,2.66666
"10_4_784.txt",228,5.2209,9.63858,4.8193,7.63054,-0.4016
"10_5_785.txt",24,11.11111,14.81481,3.7037,-7.40741,0
"10_5_786.txt",26,0,10.34483,10.34483,10.34483,6.89655
"10_5_787.txt",29,3.125,6.25,9.375,6.25,6.25
"10_5_788.txt",33,0,19.99998,2.85714,2.85714,8.57142
"10_5_789.txt",33,8.10811,10.81081,2.7027,-9.99999999962142e-06,5.4054
"10_5_790.txt",36,10.52632,-2.63158,5.26316,0,5.26316
"10_5_791.txt",36,10.52632,-2.63158,5.26316,0,5.26316
"10_5_792.txt",38,0,2.5,7.5,0,2.5
"10_5_793.txt",37,4.7619,0,4.7619,2.38095,2.38095
"10_5_794.txt",38,0,4.7619,4.7619,4.7619,7.14285
"10_5_795.txt",46,11.7647,3.92157,7.84313,-3.92157,5.88234
"10_5_796.txt",48,12,2,2,0,6
"10_5_797.txt",48,5.66038,7.54717,3.77358,-5.66038,1.88679
"10_5_798.txt",50,5.45454,0,5.45454,1.81818,-1.81818
"10_5_799.txt",53,1.75439,3.50878,8.77195,3.50878,1.75439
"10_5_800.txt",205,5.4054,12.16215,5.4054,0.45045,4.5045
"10_5_801.txt",207,7.48901,8.37006,9.25112,5.28635,3.52423
"10_5_802.txt",228,8.97959,4.89794,4.08162,-9.99999999995449e-06,4.08163
"10_6_803.txt",204,4.09093,7.27277,2.7273,2.72728,0.45455
"10_6_804.txt",207,6.4935,7.3593,3.4632,4.7619,1.7316
"10_6_805.txt",231,6.29921,3.5433,9.05511,9.05511,0
"10_7_806.txt",22,4.16667,0,0,0,0
"10_7_807.txt",28,0,9.67742,0,12.90323,3.22581
"10_7_808.txt",34,2.7027,5.4054,2.7027,8.1081,2.7027
"10_7_809.txt",35,8.33334,8.33334,11.11112,5.55556,-2.77778
"10_7_810.txt",202,3.68664,3.68664,6.45162,6.45162,-0.92166
"10_7_811.txt",212,0.43668,10.04365,6.55021,1.74672,0
"10_7_812.txt",223,2.47933,4.13221,4.54543,4.13221,0.41321
"10_8_813.txt",24,16,8,12,8,-8
"10_8_814.txt",23,7.69231,3.84616,7.6923,-7.69231,11.53845
"10_8_815.txt",24,15.3846,-3.84615,0,-3.84615,7.6923
"10_8_816.txt",24,11.53846,15.38461,7.6923,-3.84616,3.84615
"10_8_817.txt",27,25.00001,0,0,-7.14286,10.71429
"10_8_818.txt",31,9.09091,18.18182,-3.03031,3.0303,6.06061
"10_8_819.txt",31,0,0,0,0,0
"10_8_820.txt",34,0,8.33333,0,0,0
"10_8_821.txt",37,15.78948,0,7.89474,5.26316,7.89474
"10_8_822.txt",37,5.1282,12.8205,5.1282,2.5641,2.5641
"10_8_823.txt",39,9.5238,-2.38095,4.7619,0,4.7619
"10_8_824.txt",39,9.5238,-2.38095,4.7619,0,4.7619
"10_8_825.txt",40,9.30232,-2.32558,4.65116,0,4.65116
"10_8_826.txt",41,13.95348,-8.88178419700125e-16,4.65116,-2.32558,6.97674
"10_8_827.txt",43,8.69565,2.17392,0,-2.17392,4.34782
"10_8_828.txt",43,8.69565,2.17392,0,-2.17392,4.34782
"10_8_829.txt",43,8.69565,2.17392,0,-2.17392,4.34782
"10_8_830.txt",43,8.69565,2.17392,0,-2.17392,4.34782
"10_8_831.txt",50,11.32075,9.43396,3.77358,-5.66038,3.77358
"10_8_832.txt",49,0,0,1.92308,1.92308,0
"10_8_833.txt",68,2.7027,10.8108,4.05405,1.35135,5.4054
"10_8_834.txt",203,9.50228,8.5973,5.88237,-0.45248,-0.90498
"10_8_835.txt",207,3.05676,2.1834,3.49344,-0.87336,0.87336
"10_9_836.txt",27,3.33333,6.66666,6.66666,6.66666,6.66666
"10_9_837.txt",32,8.57142,11.42856,2.85714,5.71428,0
"10_9_838.txt",35,2.63158,7.89474,7.89474,7.89474,5.26316
"10_9_839.txt",41,0,2.32558,2.32558,2.32558,4.65116
"10_9_840.txt",44,10.41667,6.25,4.16667,8.33333,6.25
"10_9_841.txt",54,1.69492,6.77968,1.69492,8.4746,0
"10_9_842.txt",56,1.63934,4.91803,6.55736,8.19671,0
"10_9_843.txt",201,0.88889,1.77777,2.22221,2.66665,0.88888
"10_9_844.txt",200,-0.45872,8.25692,4.12847,2.75231,-0.45871
"10_9_845.txt",206,0.88106,4.84582,5.72689,0.88106,2.64318
"11_1_896.txt",180,1.9802,3.9604,6.43565,3.9604,2.47525
"11_1_897.txt",228,4.26358,3.87599,1.5504,2.3256,0.7752
"11_1_898.txt",229,2.34377,7.0313,1.95314,3.90628,4.68753
"11_10_959.txt",33,8.33334,16.66668,11.11112,-5.55556,5.55556
"11_10_960.txt",47,0,9.61539,9.61539,3.84615,-1.92308
"11_10_961.txt",61,10.44777,10.44778,5.97016,7.4627,4.47761
"11_10_962.txt",61,1.44928,5.79712,7.2464,4.34784,5.79712
"11_10_963.txt",75,-3.65853,7.31706,1.21951,-1.21951,1.21951
"11_10_964.txt",252,5,3.57142,2.85712,1.42856,0.71428
"11_10_965.txt",256,0.69204,1.03806,1.03806,0.34602,0.69204
"11_10_966.txt",268,2.00000000000755e-05,8.56169,3.76715,1.71236,1.02741
"11_11_967.txt",30,-5.55556,11.11112,-2.77778,2.77778,11.11112
"11_11_968.txt",31,-8.57143,17.14285,2.85714,-2.85715,8.57142
"11_11_969.txt",34,2.5641,7.69231,-2.56411,2.56411,5.12821
"11_11_970.txt",35,0,2.5,-5,2.5,2.5
"11_11_971.txt",39,0,0,0,2.22222,0
"11_11_972.txt",44,6.24999,2.08333,-2.08333,4.16666,6.24999
