

KMO_TEST:

KMO_METRIC: 0.691861271907544
The KMO test yields a DECENT degree of common variance.

BARTLETT_SPHERICITY_TEST:


	Bartlett's test of sphericity

data:  InputData
X-squared = 51810, df = 11175, p-value < 2.2e-16



FACTOR_ANALYSIS_RESULTS:

Principal Components Analysis
Call: principal(r = InputData, nfactors = NumberOfFactors, residuals = FALSE, 
    rotate = "varimax", method = "regression")
Standardized loadings (pattern matrix) based upon correlation matrix
               RC6   RC2   RC1   RC7   RC3   RC4   RC8   RC5   RC9  RC10    h2   u2 com
year          0.05 -0.02  0.02 -0.05  0.25 -0.01 -0.08  0.03  0.17  0.09 0.116 0.88 2.7
project      -0.04 -0.02  0.07 -0.10  0.13  0.37 -0.11  0.11 -0.21 -0.06 0.238 0.76 2.7
continue     -0.01  0.05  0.02 -0.03 -0.03  0.11  0.00  0.12  0.19  0.03 0.069 0.93 2.8
week          0.19  0.01  0.19 -0.02  0.21  0.03  0.10  0.06 -0.06  0.07 0.145 0.85 4.1
annoy        -0.08  0.01  0.29 -0.12 -0.03 -0.01  0.02 -0.03  0.05  0.23 0.159 0.84 2.6
note          0.26  0.28 -0.02  0.00 -0.07 -0.03 -0.03 -0.02  0.05  0.01 0.159 0.84 2.3
rest          0.08  0.03  0.07  0.01  0.01 -0.01  0.24  0.07  0.06 -0.01 0.080 0.92 1.8
wait          0.00 -0.02  0.27  0.17  0.07 -0.05  0.03 -0.04  0.05 -0.11 0.123 0.88 2.5
expect        0.04 -0.03  0.09  0.11  0.02  0.01  0.00  0.01  0.04  0.27 0.097 0.90 1.7
alone         0.07 -0.08 -0.14  0.13 -0.10  0.46  0.11 -0.02  0.18 -0.04 0.314 0.69 2.2
hour          0.13  0.07  0.18  0.09  0.06  0.02  0.08  0.04  0.00  0.05 0.078 0.92 3.9
stop          0.00  0.02  0.22 -0.01  0.00  0.00  0.03  0.01  0.22  0.04 0.100 0.90 2.1
understand    0.12  0.17  0.00 -0.06 -0.04  0.04 -0.03 -0.05  0.04  0.30 0.145 0.86 2.4
early         0.09  0.05  0.26  0.13 -0.04  0.00  0.25  0.04  0.03 -0.01 0.162 0.84 2.9
worry         0.19 -0.01  0.05 -0.04  0.08  0.10  0.10 -0.05 -0.01  0.00 0.069 0.93 3.1
minute        0.12  0.07  0.27  0.06 -0.07  0.00  0.03  0.07  0.16 -0.03 0.130 0.87 2.8
turn          0.03  0.03  0.13  0.00  0.05  0.08  0.02  0.10  0.07  0.02 0.042 0.96 4.0
mind          0.02  0.02 -0.07  0.01 -0.03  0.44  0.02 -0.01  0.12 -0.03 0.213 0.79 1.2
talk         -0.05  0.09 -0.01 -0.01  0.39 -0.12 -0.03 -0.04  0.21  0.23 0.271 0.73 2.7
hear         -0.06 -0.02  0.08 -0.05  0.15 -0.04 -0.02 -0.03  0.17  0.17 0.096 0.90 4.0
interest     -0.06  0.24  0.00 -0.03  0.07  0.08 -0.05  0.05  0.12  0.18 0.123 0.88 3.3
focus         0.07  0.16 -0.04  0.08 -0.05  0.23 -0.02  0.01  0.00  0.12 0.109 0.89 3.1
play         -0.06  0.03  0.04 -0.05  0.11  0.01 -0.07  0.54 -0.04  0.00 0.323 0.68 1.2
end           0.10  0.11  0.14  0.03  0.09  0.05  0.03  0.04  0.07 -0.01 0.060 0.94 4.9
text          0.01  0.05  0.05 -0.05  0.17 -0.07  0.15  0.04  0.15 -0.04 0.088 0.91 4.2
nice          0.07 -0.05  0.11  0.15  0.21 -0.08 -0.08  0.10  0.10  0.04 0.122 0.88 4.9
realize       0.10  0.05  0.15  0.00  0.07  0.10  0.08 -0.04  0.08 -0.01 0.065 0.94 5.2
ready         0.16 -0.04  0.14  0.10 -0.01 -0.01  0.11  0.05  0.02 -0.09 0.082 0.92 4.6
quick         0.13 -0.01  0.17  0.03  0.01 -0.06  0.08 -0.04  0.11  0.02 0.071 0.93 3.8
person        0.03  0.00  0.13 -0.09  0.05  0.02 -0.09 -0.01  0.17  0.10 0.075 0.93 4.2
order         0.00 -0.01  0.15  0.16  0.00  0.08 -0.03 -0.03  0.01  0.01 0.058 0.94 2.6
finish        0.11 -0.04  0.05  0.25  0.01  0.17  0.09  0.24 -0.12  0.12 0.199 0.80 4.7
