"Filename","WC","RC2","RC1","RC3","RC4","RC5"
"10_11_862.txt",53,8.77195,-1.75439,3.50878,-1.75439,3.50878
"10_11_863.txt",65,2.89856,2.89856,7.2464,4.34784,1.44928
"10_11_864.txt",213,1.74672,0,4.3668,2.62008,-1.74672
"10_11_865.txt",212,3.8961,2.5974,6.0606,-0.8658,5.1948
"10_11_866.txt",214,3.05676,2.62008,5.24016,3.05676,-1.31004
"10_12_868.txt",33,2.85714,8.57142,8.57142,5.71428,0
"10_12_869.txt",37,2.5641,0,7.6923,5.1282,-2.5641
"10_12_870.txt",40,7.14285,4.7619,9.5238,11.90475,0
"10_12_871.txt",40,2.43902,7.31706,7.31706,2.43902,-2.43902
"10_12_872.txt",45,4.16667,0,0,6.25,0
"10_12_873.txt",44,2.08333,0,6.25,-4.16667,0
"10_12_874.txt",46,-2.04082,12.24491,12.24491,-6.12246,0
"10_12_875.txt",201,-1.85185,7.40739,4.16664,-1.9999999999909e-05,0.46296
"10_12_876.txt",217,3.73446,2.90458,8.29879,4.14941,1.65976
"10_12_877.txt",237,1.6,6,6.8,5.2,0.8
"10_13_880.txt",32,0,8.82354,2.94118,2.94118,0
"10_13_881.txt",37,-7.31707,9.75609,0,-9.75609,0
"10_13_882.txt",42,0,2.08333,0,4.16666,0
"10_13_883.txt",44,2.04082,0,2.04082,0,0
"10_13_884.txt",49,0,7.84312,11.76469,5.88234,-1.96078
"10_13_885.txt",205,0.45662,4.10959,5.02283,5.02283,-0.45662
"10_13_886.txt",219,6.03445,5.17239,5.60342,1.72414,-0.86208
"10_13_887.txt",220,2.97872,1.27659,5.53191,3.40425,1.27659
"10_14_888.txt",33,2.77778,8.33334,11.11112,-5.55556,0
"10_14_889.txt",35,2.63158,2.63158,5.26316,2.63158,0
"10_14_890.txt",36,0,0,17.5,12.5,-2.5
"10_14_891.txt",48,4,2,2,0,4
"10_14_892.txt",60,9.375,3.125,1.5625,1.5625,1.5625
"10_14_893.txt",209,4.40529,1.32159,7.04847,4.40529,0.44053
"10_14_894.txt",210,9.33331,10.66663,3.99998,-3.55556,-2.22223
"10_14_895.txt",219,4.97926,2.48963,5.39421,9.99999999984347e-06,0
"10_2_769.txt",202,0.46729,2.80374,5.14019,1.40187,0.93458
"10_2_770.txt",205,0.45045,4.5045,6.75675,1.35135,0
"10_2_771.txt",214,2.5974,6.9264,4.329,2.5974,0.4329
"10_3_772.txt",49,9.43395,9.43395,11.32074,-1.88679,-1.88679
"10_3_773.txt",51,9.43395,5.66037,3.77358,3.77359,1.88679
"10_3_774.txt",52,5.35713,1.78571,1.78571,-1.78571,3.57142
"10_3_775.txt",52,10.71427,1.78572,0,-3.57143,3.57142
"10_3_776.txt",206,10.22218,2.22222,1.33332,-1.33336,3.55554
"10_3_777.txt",208,6.63719,2.65487,2.2124,4.86727,2.2124
"10_3_778.txt",209,8.9686,4.4843,4.4843,1.79372,2.69058
"10_4_780.txt",44,2.12766,2.12766,6.38298,-2.12766,2.12766
"10_4_781.txt",44,0,8.51064,6.38298,6.38298,0
"10_4_782.txt",207,-0.4386,3.07018,1.3158,3.07018,2.19299
"10_4_783.txt",207,2.67857,6.25001,5.35715,5.80358,1.33929
"10_4_784.txt",228,5.30611,6.12243,7.34692,7.75509,-2.04082
"10_5_788.txt",33,2.85714,17.14284,5.71428,2.85714,5.71428
"10_5_789.txt",33,8.10811,10.81081,2.7027,-9.99999999962142e-06,2.7027
"10_5_790.txt",36,10.52632,-2.63158,2.63158,-2.63158,5.26316
"10_5_791.txt",36,10.52632,-2.63158,2.63158,-2.63158,5.26316
"10_5_792.txt",38,2.5,2.5,7.5,-5,2.5
"10_5_793.txt",37,4.7619,0,2.38095,2.38095,2.38095
"10_5_794.txt",38,-2.38095,4.7619,4.7619,2.38095,4.7619
"10_5_795.txt",46,11.7647,3.92157,5.88235,-3.92157,5.88234
"10_5_796.txt",48,12,2,2,0,4
"10_5_797.txt",48,5.66038,7.54717,3.77358,-7.54717,1.88679
"10_5_798.txt",50,5.55555,0,5.55555,1.85185,-1.85185
"10_5_799.txt",53,1.75439,3.50878,8.77195,1.75439,1.75439
"10_5_800.txt",205,5.45456,10.90915,5.00002,0.454570000000001,0.9091
"10_5_801.txt",207,7.48901,7.92953,7.489,4.84582,-0.44053
"10_5_802.txt",228,8.97959,4.48978,4.48978,-1.00000000000655e-05,2.85714
"10_6_803.txt",204,3.18184,6.81822,1.81821,1.81819,-1.81819
"10_6_804.txt",207,6.52173,7.39129,3.47824,4.34782,-3.47826
"10_6_805.txt",231,5.90551,3.1496,8.26771,8.66141,-0.7874
"10_7_808.txt",34,2.7027,2.7027,5.4054,8.1081,0
"10_7_809.txt",35,8.33334,8.33334,11.11112,5.55556,-2.77778
"10_7_810.txt",202,3.68664,3.22581,5.52996,6.45162,-1.38249
"10_7_811.txt",212,0.43668,9.60697,7.42357,1.31004,-0.87336
"10_7_812.txt",223,2.06611,3.71899,4.13221,3.30577,-1.00000000000655e-05
