

KMO_TEST:

KMO_METRIC: 0.710592466342076
The KMO test yields a GOOD degree of common variance.

BARTLETT_SPHERICITY_TEST:


	Bartlett's test of sphericity

data:  InputData
X-squared = 57660, df = 11175, p-value < 2.2e-16



FACTOR_ANALYSIS_RESULTS:

Principal Components Analysis
Call: principal(r = InputData, nfactors = NumberOfFactors, residuals = FALSE, 
    rotate = "varimax", method = "regression")
Standardized loadings (pattern matrix) based upon correlation matrix
               RC6   RC2   RC7   RC9   RC1  RC10   RC3   RC4   RC8   RC5    h2   u2 com
rest          0.07  0.03  0.00  0.03  0.10 -0.01  0.01 -0.01  0.25  0.07 0.085 0.91 1.7
wait         -0.04 -0.03  0.15 -0.02  0.28 -0.06  0.09  0.06  0.03 -0.04 0.120 0.88 2.2
realize       0.08  0.05 -0.01  0.05  0.18  0.11  0.08  0.05  0.08 -0.04 0.071 0.93 3.9
alone         0.04 -0.08  0.10  0.06  0.01  0.50 -0.10 -0.13  0.11 -0.01 0.309 0.69 1.5
hour          0.13  0.07  0.10  0.00  0.15  0.01  0.07  0.12  0.09  0.05 0.086 0.91 5.8
stop         -0.01  0.02 -0.01  0.15  0.25  0.01 -0.05  0.09  0.03  0.02 0.100 0.90 2.1
understand    0.18  0.19 -0.03  0.13 -0.10  0.03 -0.08  0.19 -0.02 -0.04 0.140 0.86 4.9
early         0.08  0.04  0.12 -0.04  0.26  0.00 -0.02  0.10  0.25  0.04 0.165 0.83 3.1
worry         0.18 -0.01 -0.04  0.01  0.06  0.11  0.10  0.02  0.10 -0.06 0.074 0.93 3.8
minute        0.10  0.06  0.05  0.04  0.32  0.02 -0.07  0.07  0.03  0.07 0.136 0.86 1.7
expect        0.10 -0.02  0.14  0.16  0.00  0.01 -0.07  0.19  0.02  0.01 0.098 0.90 3.8
turn          0.03  0.03  0.01  0.05  0.13  0.08  0.05  0.08  0.02  0.10 0.047 0.95 4.6
mind         -0.01  0.02  0.00  0.05  0.01  0.46 -0.01 -0.04  0.02 -0.01 0.218 0.78 1.1
talk          0.01  0.09  0.01  0.44  0.00 -0.10  0.22  0.07 -0.03 -0.02 0.271 0.73 1.8
hear         -0.02 -0.01 -0.03  0.28  0.06 -0.03  0.02  0.12 -0.01 -0.02 0.103 0.90 1.5
interest     -0.01  0.24 -0.01  0.21 -0.04  0.07 -0.01  0.12 -0.04  0.07 0.130 0.87 3.0
focus         0.10  0.17  0.09  0.04 -0.06  0.25 -0.06  0.07 -0.01 -0.01 0.121 0.88 3.0
