Study,PPID,totalEmotions,negEmotions,posEmotions,giniCoefThemeZ,numPromptsZ,mNegativeZ,mPositiveZ,negGranZ,posGranZ
2,12,39,20,19,-0.184596553,-0.049927196,1.087799724,-0.14624821,-1.704544561,-0.577788933
2,13,39,20,19,-0.721207325,-0.049927196,0.817011779,0.364711805,-0.598610151,-1.870081197
2,14,39,20,19,0.972799228,-0.049927196,-0.570867056,-1.554481698,-0.477952503,-0.651799537
2,15,39,20,19,0.383579558,-0.049927196,0.772687929,1.433018446,0.652836665,1.620191157
2,16,39,20,19,0.263057352,-0.049927196,1.297591111,0.632442216,0.580271895,0.129352134
2,17,39,20,19,-0.352945031,-0.049927196,2.061937703,0.448322238,-2.177077074,-1.834514561
2,18,39,20,19,0.715015622,-0.049927196,-1.140713353,-0.870068833,0.119065649,-0.048317355
2,19,39,20,19,0.986190585,-0.049927196,-0.991794803,0.139735905,1.379127948,1.162412091
2,20,39,20,19,-1.825994208,-0.049927196,-0.827827835,0.187868588,-1.744156047,0.975882495
2,21,39,20,19,-0.279292572,-0.049927196,-0.706060136,-1.152733013,0.720299391,0.919514841
2,22,39,20,19,0.383579558,-0.049927196,-0.926767742,1.606984771,1.32355069,0.550643678
2,23,39,20,19,-0.67701585,-0.049927196,1.201153204,2.204138523,-1.119762417,-0.740358779
2,24,39,20,19,-0.058335195,-0.049927196,-0.909222653,0.05943608,-1.066040491,-0.544366924
2,25,39,20,19,-0.67701585,-0.049927196,-0.248029568,0.103992315,0.234709129,-1.222208414
2,26,39,20,19,2.8141107,3.744539727,-0.172201873,-1.198526469,0.429476454,-0.633104994
2,27,39,20,19,-0.279292572,-0.049927196,-0.016531733,-0.299427238,-0.002717808,-0.171681359
2,28,39,20,19,-1.605036831,-0.049927196,1.611527556,1.76779881,-0.485200894,-0.603823202
2,30,39,20,19,0.088969722,-0.049927196,0.251428562,1.094201475,-1.75879568,-0.739230242
2,31,39,20,19,-0.352945031,-0.049927196,-1.30100595,1.448063023,0.825531584,2.126229041
2,32,39,20,19,1.21216972,-0.049927196,-1.248381051,0.121082219,1.555161582,1.0769564
2,34,39,20,19,-0.279292572,-0.049927196,-0.224572135,0.226788844,-0.829597785,-0.50492027
2,35,39,20,19,-0.563380628,-0.049927196,-0.749336461,0.304822828,-0.962733304,-0.841842363
2,36,39,20,19,-0.024341753,-0.049927196,-0.386476732,0.858026671,0.616090749,-0.318128919
2,37,39,20,19,0.383579558,-0.049927196,0.285843575,-0.027237725,-0.314336684,-0.938328372
2,38,39,20,19,-0.373988591,-0.049927196,-0.334780916,-1.091630793,1.326473995,0.73423461
2,39,39,20,19,-0.373988591,-0.049927196,1.111963472,1.139809563,0.387794041,0.194972105
