Study,PPID,totalEmotions,negEmotions,giniCoefThemeZ,numPromptsZ,mNegativeZ,negGranZ
2,67,39,20,1.150356651,0.134017633,0.086484849,0.387325136
2,69,39,20,1.512530952,0.134017633,-0.395938654,0.36300304
2,70,39,20,0.42779216,-2.412317389,-0.530051184,-0.539844503
2,71,39,20,-0.708548579,0.134017633,-0.991775762,0.148167175
2,72,39,20,0.879766657,0.134017633,3.474975805,-1.495341982
2,73,39,20,-1.035177922,0.134017633,2.0056998,-0.92062789
2,74,39,20,1.095259141,0.134017633,0.142104578,-0.075097929
2,75,39,20,-1.284953301,0.134017633,-0.474241094,-0.511622086
2,76,39,20,2.295160475,0.134017633,-0.547554683,1.498634396
2,77,39,20,-0.722958697,0.134017633,-0.050517579,0.9133774
2,79,39,20,-0.086031479,0.134017633,1.729783408,0.236133084
2,80,39,20,-0.086031479,0.134017633,-0.06613158,-1.786876946
2,81,39,20,0.813159889,0.134017633,-1.019553475,1.008064921
2,82,39,20,0.42779216,0.134017633,-0.203317388,0.535294167
2,83,39,20,-0.285851782,0.134017633,-0.732966602,1.202642891
2,84,39,20,-0.086031479,0.134017633,0.428404147,1.395422653
3,1003,7,5,1.18411436,1.780752743,-1.332022354,-1.009677237
3,1004,7,5,1.063416,0.136120367,-0.983537452,0.725749477
3,1007,7,5,1.385278295,2.92285856,-0.615806287,-0.745455484
3,1008,7,5,1.141007803,1.141173486,0.381874443,-0.393854204
3,1009,7,5,0.595709851,2.054858139,-0.740005197,1.934664512
3,1010,7,5,0.324138539,-0.275037727,-0.364996145,0.419581644
3,1011,7,5,-0.807408594,-0.686195821,-0.400717708,0.319847768
3,1017,7,5,0.656059032,-0.229353495,-1.102933355,0.225445121
3,1018,7,5,-0.173742199,-0.823248519,-0.935705308,0.664593978
3,1020,7,5,0.324138539,0.867068089,-0.886112662,0.223792817
3,1024,7,5,-0.852670479,-0.32072196,1.524366988,0.555074921
3,1029,7,5,-0.053043838,-0.137985029,0.480498133,-0.77491344
3,1030,7,5,-0.050300694,-0.640511589,-0.713493053,-1.805289408
3,1031,7,5,1.149954447,1.872121208,0.527011861,-1.116349986
3,1032,7,5,1.763466492,0.36454153,0.438574008,0.393235553
3,1033,7,5,0.870052299,2.100542372,-0.023073199,-0.433143998
3,1034,7,5,-0.230319556,0.958436555,1.7672154,-0.223036092
3,1035,7,5,0.203440179,-0.457774658,3.360704106,-0.5862937
3,1036,7,5,0.658492466,0.730015391,-0.771554502,1.934664512
3,1037,7,5,0.077712719,-0.457774658,0.252307302,0.793986341
3,1038,7,5,0.608054002,-0.046616564,1.294203882,-0.577387998
3,1039,7,5,-1.028688922,-0.549143123,0.107488864,-0.257264431
3,1040,7,5,1.18411436,-0.457774658,-0.745206838,1.438895784
3,1041,7,5,-1.305289332,-0.594827356,-0.043511112,0.660466847
